"T1";"T2";"T3";"T41";"T42";"T5";"T61";"T62";"T71";"T72";"T81";"T82";"T83";"T84";"T85";"T86";"T87";"T88";"T89"
20;3;2;"0011";"0010";2;1;1;1;0;1;1;1;1;1;1;1;1;1
3;1;1;"0111";"0001";0;1;1;0;1;1;1;1;1;1;1;0;0;1
17;3;1;"1001";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
5;1;1;"0010";"0000";0;1;1;0;0;1;0;0;1;0;0;0;0;0
3;3;1;"0111";"1000";0;1;1;0;0;1;1;1;1;0;0;1;1;0
10;0;1;"1011";"0000";0;0;0;0;1;0;0;0;0;0;0;0;1;0
7;2;2;"0011";"1001";1;1;1;0;1;1;1;1;1;1;1;0;0;1
4;1;0;"0000";"0000";0;1;0;0;1;0;0;0;0;0;0;0;0;0
10;1;2;"1011";"1000";0;1;0;1;0;1;1;1;1;1;1;1;1;1
5;1;1;"1110";"1110";0;1;1;1;0;1;1;1;1;1;1;1;1;1
11;1;0;"0000";"0000";0;1;0;0;0;1;1;1;1;1;0;1;0;1
13;2;2;"1000";"0000";0;1;1;1;0;1;1;1;1;1;1;0;1;0
30;3;2;"0010";"0000";0;0;0;0;0;1;1;1;1;1;1;1;1;1
5;1;0;"0010";"0000";0;1;0;0;1;1;0;1;0;1;0;0;0;0
7;2;2;"0011";"0000";0;1;1;0;0;1;1;1;0;0;1;0;0;0
10;1;1;"1101";"1100";0;1;0;1;1;1;1;1;1;1;1;1;1;1
3;1;1;"0011";"0000";0;1;1;0;0;0;0;0;0;0;0;0;0;0
10;1;1;"0110";"0000";0;1;1;0;0;1;1;1;1;1;0;1;1;1
4;1;1;"0000";"0000";0;1;1;0;0;1;1;1;0;0;0;0;0;0
6;0;0;"1011";"0001";0;1;1;0;0;1;0;1;0;0;0;0;0;0
3;1;1;"0000";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
10;3;2;"0011";"1100";0;1;1;0;0;1;1;1;1;1;1;1;1;1
20;1;1;"1010";"1101";0;1;1;1;1;1;1;1;1;1;1;1;1;1
14;1;0;"1111";"0000";1;1;1;1;0;1;1;1;1;0;0;0;0;0
13;2;0;"0011";"1000";0;1;1;1;0;1;1;1;0;0;0;0;0;0
5;1;0;"0000";"0000";0;1;1;0;1;1;1;0;1;0;0;0;0;0
15;2;0;"0010";"0000";0;1;0;0;0;1;1;1;0;1;0;0;0;0
9;1;0;"1100";"0010";0;1;1;0;0;1;1;1;0;1;0;0;0;0
3;3;1;"1101";"0010";0;1;1;0;0;1;1;1;1;1;1;0;0;0
4;1;0;"0011";"0000";0;1;1;1;1;1;1;1;0;1;0;0;0;0
10;2;2;"0011";"0010";0;1;1;1;1;1;1;1;1;1;1;1;1;1
14;2;0;"0000";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
0;0;0;"0010";"0000";0;0;0;0;0;1;1;1;0;0;0;0;0;0
10;3;1;"0010";"0001";1;1;1;0;0;1;1;1;1;1;1;1;1;1
5;3;1;"1111";"1111";1;1;0;0;0;1;1;1;0;0;0;0;0;0
30;1;2;"1110";"1100";0;1;1;0;0;1;1;1;1;1;1;1;1;1
2;1;0;"0100";"0000";0;1;1;1;0;1;0;1;0;0;0;0;0;0
30;3;2;"0011";"1100";1;1;0;1;1;1;1;1;1;1;1;1;1;1
20;3;2;"1011";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
10;3;2;"1101";"0000";1;1;1;1;0;1;1;1;1;1;1;1;1;1
4;1;1;"1111";"0000";2;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;2;"1111";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
5;2;0;"0110";"0000";1;1;0;1;1;1;0;0;1;0;0;1;1;0
7;2;1;"0000";"0000";1;1;1;0;0;1;1;1;1;1;0;0;0;0
3;1;0;"0101";"0000";0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;1;0;"1100";"1100";0;1;1;0;0;1;1;1;1;1;1;1;1;1
12;3;2;"0000";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;0
10;3;1;"1100";"1001";1;1;1;0;1;1;1;1;1;1;1;1;1;1
27;2;2;"1111";"1111";0;1;0;1;1;1;1;1;1;1;1;1;1;1
4;1;0;"0110";"0000";0;1;1;1;0;1;0;1;0;0;0;0;0;0
5;2;0;"0110";"0000";0;1;1;0;0;1;1;1;1;1;0;1;1;0
10;1;1;"0000";"0000";0;1;0;0;0;1;1;1;1;1;1;1;1;1
10;3;2;"1111";"1111";2;1;0;1;0;1;1;1;1;1;1;1;1;1
10;3;1;"0001";"0000";0;1;0;0;0;1;1;1;1;1;1;1;1;1
3;0;0;"0010";"0000";0;0;0;0;0;1;0;0;0;0;0;0;0;0
11;0;0;"0001";"0000";0;0;1;0;0;1;0;0;0;0;0;0;0;1
8;2;1;"0011";"0000";0;1;0;0;1;1;1;1;1;1;1;1;1;1
5;0;0;"1100";"0000";0;1;1;0;0;1;0;0;0;1;0;0;0;0
20;3;2;"1010";"1011";1;1;1;1;0;1;1;1;1;1;1;1;1;1
3;1;0;"0111";"0000";0;1;1;0;0;1;0;1;0;0;0;0;0;0
5;1;1;"1100";"0010";0;1;1;0;1;1;1;1;1;0;0;0;0;0
9;0;1;"0001";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
3;1;0;"0111";"1000";0;0;0;0;0;1;0;1;1;0;0;0;0;1
3;0;0;"0001";"0000";0;0;0;0;0;1;1;1;0;1;0;0;0;0
10;2;0;"1001";"0000";1;1;1;0;1;1;1;1;1;1;1;1;1;1
10;2;1;"0000";"0000";0;1;1;1;0;1;0;0;0;0;1;0;0;0
50;1;2;"1111";"1111";0;1;0;1;0;1;1;1;1;1;1;1;1;1
10;2;2;"1101";"1101";0;1;1;1;0;1;1;1;1;1;1;1;1;1
39;3;2;"1011";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
16;0;0;"0000";"0000";0;1;0;0;1;1;0;1;0;0;0;1;1;0
15;3;2;"0000";"0000";1;1;1;1;0;1;1;1;1;1;1;1;1;1
13;1;0;"0000";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
15;1;1;"0001";"0000";0;1;0;0;0;1;1;0;1;1;0;0;0;0
19;1;1;"1101";"1001";0;1;1;0;0;1;1;1;1;1;1;1;1;1
4;1;0;"1101";"0000";0;1;1;0;0;1;1;1;1;0;1;0;0;0
14;2;1;"0111";"1001";0;1;1;0;0;1;1;1;1;1;0;1;1;1
5;2;0;"0001";"0000";0;1;1;0;0;1;1;1;1;0;0;1;1;0
28;3;2;"1101";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;0
27;3;1;"0011";"0010";0;1;1;0;0;1;1;1;1;1;1;1;1;1
31;2;2;"1011";"1111";0;1;1;1;0;1;1;1;1;1;1;1;1;1
3;2;1;"1111";"0011";0;1;1;1;0;1;1;1;1;1;1;1;1;1
5;3;2;"0000";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
4;2;2;"1111";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
10;2;2;"0110";"0011";1;1;1;1;0;1;1;1;1;1;1;1;1;1
20;1;2;"1101";"0110";0;1;1;0;0;1;1;1;1;1;1;1;1;1
18;1;0;"0001";"0000";0;1;1;1;0;1;0;1;0;1;1;0;0;0
27;2;0;"1100";"0000";0;1;0;0;0;1;0;0;1;0;0;0;0;0
12;0;0;"0000";"0000";0;1;0;0;0;1;1;1;1;1;1;1;1;1
5;0;1;"0011";"0001";0;1;1;0;0;1;1;1;0;1;0;0;0;0
10;2;2;"0011";"0011";1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;1;0;"0000";"0000";0;1;1;0;0;0;0;0;0;0;0;0;0;0
4;1;0;"0011";"0000";0;1;0;0;1;0;1;1;0;0;0;0;0;0
21;1;1;"0010";"0000";1;1;0;1;0;1;1;1;1;1;1;1;0;0
4;0;0;"0000";"0000";0;0;1;0;0;0;1;1;1;1;1;0;0;0
1;0;0;"1000";"0001";0;1;1;1;0;1;0;0;0;0;0;0;0;0
10;3;2;"0001";"0000";0;1;1;1;0;1;1;1;1;1;1;1;1;1
5;2;0;"0100";"0000";0;1;0;1;0;1;0;1;1;1;0;0;0;0
14;2;0;"0011";"0001";0;1;1;1;0;1;1;1;1;1;0;0;0;0
0;0;1;"0010";"0000";0;1;1;0;0;1;0;0;0;0;0;0;0;0
15;2;2;"0010";"0000";0;1;0;1;0;1;1;1;1;1;1;1;1;1
24;3;2;"1110";"0010";1;1;1;0;0;1;1;1;1;1;0;0;1;0
3;1;0;"0000";"0000";0;1;1;0;0;1;1;0;0;0;0;0;0;1
3;0;0;"0000";"0000";0;0;1;0;1;0;0;0;0;0;0;0;0;0
6;2;0;"0111";"0000";0;1;0;0;0;1;1;1;1;1;1;1;0;1
3;2;1;"0000";"0000";0;1;1;1;1;1;1;1;1;1;0;0;0;0
4;2;0;"1111";"0000";0;1;1;1;0;1;1;1;1;0;0;1;1;0
30;3;2;"0010";"0000";1;1;0;0;1;1;1;1;1;1;1;1;1;1
2;0;0;"0000";"0000";0;1;1;0;0;0;0;0;0;0;0;0;0;0
11;3;2;"1111";"0011";0;1;1;1;0;1;1;1;1;1;1;1;1;0
14;2;0;"1101";"1000";0;1;1;0;1;1;0;0;0;0;1;0;0;0
3;0;1;"0000";"0000";0;1;1;0;0;1;0;0;0;0;0;0;0;0
13;3;2;"0011";"0000";1;1;1;1;0;1;1;1;1;1;1;1;1;1
5;1;0;"0001";"0000";0;1;1;0;1;1;0;0;0;0;0;0;0;0
0;1;0;"0000";"0000";0;1;1;0;0;1;1;0;0;0;0;0;0;0
6;1;1;"1100";"0010";0;1;1;0;0;1;0;0;0;0;0;0;0;0
0;1;0;"0000";"0000";0;1;1;0;0;1;0;0;0;0;0;0;0;0
10;2;2;"0000";"0000";1;1;1;0;0;1;1;1;1;1;1;1;1;1
29;3;1;"1111";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
10;0;0;"0000";"0000";0;1;1;0;1;1;1;0;0;0;0;0;0;0
13;3;2;"1111";"1011";0;1;1;0;0;1;1;1;1;0;0;0;0;0
9;1;0;"0000";"0000";0;1;1;1;1;1;1;1;1;1;1;0;0;1
30;3;2;"1011";"1000";2;1;1;0;0;1;1;1;1;1;1;1;1;1
20;3;0;"0000";"0000";0;1;1;0;0;1;0;0;0;0;0;0;0;0
5;0;0;"0000";"0000";0;1;1;1;1;0;0;0;0;0;0;0;0;0
13;2;0;"0000";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
3;2;0;"0000";"0000";0;1;0;0;0;0;1;0;0;0;0;0;0;0
24;2;1;"1111";"1111";1;1;1;1;0;1;1;1;1;1;1;1;1;1
8;2;1;"1010";"1000";0;1;1;1;0;1;1;1;1;1;0;1;0;1
26;2;1;"1111";"0011";0;1;0;0;0;1;1;1;1;1;1;0;0;1
16;2;1;"1110";"1100";1;1;1;1;0;1;1;1;1;1;0;1;1;1
10;2;1;"0000";"0000";0;1;1;0;0;1;1;1;1;1;1;1;1;1
16;1;1;"1111";"0010";0;1;1;0;1;1;1;1;1;0;1;1;1;0
24;2;1;"0000";"0000";0;1;0;0;0;0;1;1;0;0;0;0;0;0
27;2;1;"0000";"0000";0;1;1;0;1;1;1;1;1;1;1;1;0;1
0;1;0;"0000";"0000";0;1;1;0;0;1;1;0;0;0;0;0;0;0
0;1;0;"0000";"0000";0;1;1;0;1;1;1;1;0;0;0;0;0;0
16;2;0;"0000";"0000";0;1;1;1;0;1;0;0;0;0;1;0;0;0
29;3;1;"1111";"1110";1;1;1;0;0;1;1;1;1;1;1;0;1;1
19;1;1;"1111";"1010";0;1;1;1;1;1;1;1;1;1;1;0;0;0
18;2;1;"0000";"0000";0;1;1;0;0;1;1;1;1;0;0;0;0;0
7;2;1;"0000";"0000";1;1;0;0;1;1;1;1;0;0;1;0;0;0
0;0;0;"0000";"0000";1;1;1;0;0;1;0;0;1;0;0;1;0;0
0;2;2;"0000";"0000";0;1;1;0;0;1;1;1;0;0;1;0;0;0
11;3;1;"0000";"0000";1;1;1;0;0;1;1;1;1;1;1;1;1;1
100;3;2;"1111";"1111";0;1;1;1;1;1;1;1;1;1;1;1;1;1
29;3;2;"1111";"1111";2;1;1;0;1;1;1;1;1;1;0;0;0;0
14;2;2;"1111";"0011";2;1;1;1;0;1;1;1;1;1;0;1;0;0
18;2;2;"1110";"1001";1;1;1;1;1;1;0;1;0;0;0;0;0;0
15;1;0;"0000";"0000";0;1;0;0;0;1;1;1;1;1;1;0;0;0
1;0;0;"0000";"0000";0;1;1;0;1;1;0;0;0;0;0;0;0;0
10;2;2;"0000";"0000";0;1;1;1;1;1;1;1;1;1;1;1;1;1
10;1;1;"1011";"0000";0;1;1;0;0;1;0;0;0;0;0;1;1;0
9;1;0;"0000";"0000";0;1;1;0;0;1;0;0;1;0;0;1;0;0
2;1;0;"0000";"0000";0;1;1;0;0;1;0;1;0;0;0;0;0;0
3;1;0;"0000";"0000";0;1;0;0;1;0;0;0;0;0;0;0;0;0
9;1;0;"0000";"0000";0;1;0;0;0;1;0;0;0;0;1;0;0;0
